Financial statement,Q4 2024,Q4 2024 change,Q3 2024,Q3 2024 change,Q2 2024,Q2 2024 change,Q1 2024,Q1 2024 change,Q4 2023,Q4 2023 change,Q3 2023,Q3 2023 change,Q2 2023,Q2 2023 change,Q1 2023,Q1 2023 change,Q4 2022,Q4 2022 change,Q3 2022,Q3 2022 change,Q2 2022,Q2 2022 change,Q1 2022,Q1 2022 change,Q4 2021,Q4 2021 change,Q3 2021,Q3 2021 change,Q2 2021,Q2 2021 change,Q1 2021,Q1 2021 change,Q4 2020,Q4 2020 change,Q3 2020,Q3 2020 change,Q2 2020,Q2 2020 change,Q1 2020,Q1 2020 change,Q4 2019,Q4 2019 change,Q3 2019,Q3 2019 change,Q2 2019,Q2 2019 change,Q1 2019,Q1 2019 change,Q4 2018,Q4 2018 change,Q3 2018,Q3 2018 change,Q2 2018,Q2 2018 change,Q1 2018,Q1 2018 change,Q4 2017,Q4 2017 change,Q3 2017,Q3 2017 change,Q2 2017,Q2 2017 change,Q1 2017,Q1 2017 change,Q4 2016,Q4 2016 change,Q3 2016,Q3 2016 change,Q2 2016,Q2 2016 change,Q1 2016,Q1 2016 change,Q4 2015,Q4 2015 change,Q3 2015,Q3 2015 change,Q2 2015,Q2 2015 change,Q1 2015,Q1 2015 change
Fees,154787880.43,-0.407,261175055.20,-0.470,492828200.17,-0.580,1172622044.77,0.791,654778364.01,0.470,445463671.43,-0.474,847053571.29,0.846,458937377.99,0.728,265561746.45,-0.037,275798648.90,-0.784,1276177775.02,-0.486,2481130556.06,-0.428,4340638309.24,1.213,1961236285.26,0.026,1910610175.62,0.125,1698746047.15,6.347,231212310.06,-0.280,321016652.34,8.134,35146878.46,3.200,8367640.05,0.165,7184485.43,-0.402,12010153.16,0.184,10146304.56,0.921,5282224.69,-0.217,6748736.91,-0.789,31933553.35,0.128,28304306.63,-0.703,95314381.41,6.892,12077939.44,,,,,,,,,,,,,,,,,,,,,,,
Supply-side fees,41743100.92,-0.590,101771849.09,-0.181,124216036.67,-0.097,137630856.39,0.465,93955004.18,0.037,90565019.81,-0.322,133585852.80,0.828,73085124.12,0.275,57312031.50,-0.229,74342112.78,-0.615,192868263.35,-0.392,317315819.74,-0.433,559292798.12,-0.090,614935233.28,-0.678,1910610175.62,0.125,1698746047.15,6.347,231212310.06,-0.280,321016652.34,8.134,35146878.46,3.200,8367640.05,0.165,7184485.43,-0.402,12010153.16,0.184,10146304.56,0.921,5282224.69,-0.217,6748736.91,-0.789,31933553.35,0.128,28304306.63,-0.703,95314381.41,6.892,12077939.44,,,,,,,,,,,,,,,,,,,,,,,
Revenue,113044779.51,-0.291,159403206.11,-0.568,368612163.50,-0.644,1034991188.38,0.845,560823359.84,0.580,354898651.63,-0.503,713467718.49,0.849,385852253.87,0.853,208249714.96,0.034,201456536.11,-0.814,1083309511.67,-0.499,2163814736.32,-0.428,3781345511.12,1.809,1346301051.98,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,
Expenses,241337634.22,-0.645,680478211.87,-0.142,792981969.94,0.191,665888926.31,0.523,437309820.87,0.229,355859512.76,0.072,332090415.83,0.246,266594181.43,0.266,210534544.94,-0.883,1799082960.68,-0.390,2948368005.60,-0.253,3948564687.95,-0.286,5529643286.16,0.444,3830206209.08,0.124,3407678922.67,0.721,1980579197.00,2.170,624853832.02,0.459,428395622.73,0.689,253616342.97,0.115,227365040.81,0.221,186230734.67,-0.295,264125246.71,-0.030,272223188.43,0.563,174191219.14,-0.418,299463920.39,-0.527,632464604.30,-0.403,1059688270.14,-0.339,1603851094.43,6.421,216114454.42,,,,,,,,,,,,,,,,,,,,,,,
Token incentives,241337634.22,-0.645,680478211.87,-0.142,792981969.94,0.191,665888926.31,0.523,437309820.87,0.229,355859512.76,0.072,332090415.83,0.246,266594181.43,0.266,210534544.94,-0.883,1799082960.68,-0.390,2948368005.60,-0.253,3948564687.95,-0.286,5529643286.16,0.444,3830206209.08,0.124,3407678922.67,0.721,1980579197.00,2.170,624853832.02,0.459,428395622.73,0.689,253616342.97,0.115,227365040.81,0.221,186230734.67,-0.295,264125246.71,-0.030,272223188.43,0.563,174191219.14,-0.418,299463920.39,-0.527,632464604.30,-0.403,1059688270.14,-0.339,1603851094.43,6.421,216114454.42,,,,,,,,,,,,,,,,,,,,,,,
Earnings,-128292854.71,0.754,-521075005.76,-0.228,-424369806.44,-2.150,369102262.08,1.988,123513538.96,129.545,-960861.13,-1.003,381377302.66,2.198,119258072.44,53.196,-2284829.99,0.999,-1597626424.57,0.143,-1865058493.94,-0.045,-1784749951.63,-0.021,-1748297775.04,0.296,-2483905157.10,0.271,-3407678922.67,-0.721,-1980579197.00,-2.170,-624853832.02,-0.459,-428395622.73,-0.689,-253616342.97,-0.115,-227365040.81,-0.221,-186230734.67,0.295,-264125246.71,0.030,-272223188.43,-0.563,-174191219.14,0.418,-299463920.39,0.527,-632464604.30,0.403,-1059688270.14,0.339,-1603851094.43,-6.421,-216114454.42,,,,,,,,,,,,,,,,,,,,,,,
Price,2513.73,-0.104,2806.37,-0.169,3375.66,0.162,2906.10,0.480,1963.50,0.115,1761.18,-0.053,1859.65,0.175,1582.08,0.215,1302.55,-0.139,1512.97,-0.327,2248.85,-0.236,2942.48,-0.282,4100.44,0.442,2844.36,0.095,2597.90,0.699,1528.80,2.113,491.18,0.439,341.22,0.674,203.85,0.109,183.88,0.126,163.36,-0.232,212.70,-0.025,218.26,0.683,129.68,-0.208,163.71,-0.518,339.31,-0.403,568.53,-0.351,875.75,1.005,436.82,0.612,271.01,0.692,160.22,7.401,19.07,0.919,9.94,-0.156,11.78,0.020,11.54,1.015,5.73,5.952,0.82,-0.290,1.16,,,,,
Circulating supply,120389525.72,0.001,120275906.98,-0.001,120449947.60,0.003,120148193.75,-0.001,120239686.52,0.000,120203313.05,-0.001,120267882.14,-0.002,120494364.58,-0.001,120580162.78,0.004,120128887.22,-0.005,120786473.53,0.010,119576126.30,0.010,118349825.99,0.011,117116589.49,0.011,115889494.79,0.011,114666932.50,0.011,113435539.38,0.011,112189283.20,0.011,110943295.67,0.011,109702575.59,0.011,108548590.29,0.011,107329661.24,0.006,106642128.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market cap (fully diluted),302627501190.20,-0.103,337523575732.38,-0.170,406576783244.29,0.165,349142060456.36,0.479,236086006417.80,0.115,211808525091.09,-0.053,223634155054.24,0.175,190254319546.26,0.215,156639705903.00,-0.139,181944130321.90,-0.327,270438373716.35,-0.236,353850918914.40,-0.282,493102996952.09,0.442,342051269288.44,0.095,312413367268.85,0.699,183847823439.73,2.113,59067549881.64,0.439,41033827731.31,0.674,24514761194.49,0.109,22112196642.68,0.126,19645400317.00,-0.232,25578335370.73,-0.318,37511151844.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market cap (circulating),302581622512.38,-0.104,337548157322.54,-0.170,406631296026.59,0.165,349071290772.80,0.479,236059050031.62,0.115,211695251750.87,-0.054,223661515424.73,0.173,190612271934.50,0.214,157052796097.61,-0.136,181808761891.24,-0.330,271461491911.81,-0.229,351955086365.05,-0.275,485143570179.78,0.456,333218599588.18,0.106,301230870396.91,0.718,175322431734.09,2.145,55749632413.25,0.456,38298869076.20,0.692,22631010403.25,0.122,20176529319.89,0.138,17726053627.93,-0.223,22816369086.30,-0.015,23174245169.78,0.704,13599443428.88,-0.194,16875698826.92,-0.508,34332382850.27,-0.393,56548103606.85,-0.338,85378352020.87,1.037,41913667372.58,0.644,25490551889.01,0.713,14879911930.18,7.730,1704382647.29,0.997,853478343.94,-0.127,978189637.26,0.056,926351178.67,1.083,444769529.23,6.214,61656524.64,-0.227,79746296.48,,,,,
Token trading volume,572558771405.61,-0.598,1425870167555.50,0.068,1335097878822.48,-0.231,1736501664534.35,0.287,1349489208364.63,1.051,658029932956.79,-0.166,789106956493.40,-0.185,968616926321.86,0.067,908009346789.61,-0.392,1494231672778.23,-0.080,1624293199710.31,0.207,1345877215537.79,-0.294,1905680392616.18,-0.122,2169954008016.80,-0.482,4190209319907.39,0.258,3332173517125.48,1.875,1159010345397.89,0.117,1037543269663.03,-0.016,1053916779832.21,-0.300,1504645069340.30,1.032,740643282086.52,-0.087,811475899838.34,-0.076,878651549407.65,1.933,299576438729.81,0.962,152723910489.32,-0.317,223639240482.47,0.951,114601724262.48,-0.350,176318425585.92,1.323,75891719861.27,0.618,46916320287.42,0.852,25332010512.38,6.371,3436806125.03,3.697,731719444.88,-0.488,1428369521.53,-0.427,2493367087.10,0.867,1335487406.38,21.362,59720373.63,0.045,57140924.95,,,,,
Token turnover (fully diluted),0.0526,0.121,0.0469,0.295,0.0362,-0.330,0.0540,-0.115,0.0610,0.796,0.0340,-0.122,0.0387,-0.308,0.0559,-0.085,0.0611,-0.325,0.0905,0.171,0.0773,0.792,0.0431,0.019,0.0423,-0.405,0.0711,-0.516,0.1468,-0.317,0.2150,0.001,0.2149,-0.197,0.2677,-0.456,0.4919,-0.328,0.7318,0.775,0.4123,0.194,0.3455,-0.104,0.3853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
