Financial statement,Nov 2024,Nov 2024 change,Oct 2024,Oct 2024 change,Sep 2024,Sep 2024 change,Aug 2024,Aug 2024 change,Jul 2024,Jul 2024 change,Jun 2024,Jun 2024 change,May 2024,May 2024 change,Apr 2024,Apr 2024 change,Mar 2024,Mar 2024 change,Feb 2024,Feb 2024 change,Jan 2024,Jan 2024 change,Dec 2023,Dec 2023 change,Nov 2023,Nov 2023 change,Oct 2023,Oct 2023 change,Sep 2023,Sep 2023 change,Aug 2023,Aug 2023 change,Jul 2023,Jul 2023 change,Jun 2023,Jun 2023 change,May 2023,May 2023 change,Apr 2023,Apr 2023 change,Mar 2023,Mar 2023 change,Feb 2023,Feb 2023 change,Jan 2023,Jan 2023 change,Dec 2022,Dec 2022 change,Nov 2022,Nov 2022 change,Oct 2022,Oct 2022 change,Sep 2022,Sep 2022 change,Aug 2022,Aug 2022 change,Jul 2022,Jul 2022 change,Jun 2022,Jun 2022 change,May 2022,May 2022 change,Apr 2022,Apr 2022 change,Mar 2022,Mar 2022 change,Feb 2022,Feb 2022 change,Jan 2022,Jan 2022 change
Fees,87191.37,-0.873,685709.24,0.192,575447.80,-0.726,2099768.21,1.097,1001271.58,-0.769,4330553.63,3.830,896567.05,-0.582,2146861.86,-0.795,10460147.11,0.103,9479717.82,0.274,7439365.47,-0.351,11465770.44,0.923,5961822.71,1.499,2385974.85,0.235,1932290.49,-0.442,3464599.40,-0.203,4349421.65,-0.008,4383365.84,-0.559,9945429.80,0.107,8986275.20,0.454,6180062.89,1.124,2909095.71,1.536,1147095.77,0.523,753304.25,-0.226,972984.38,0.353,719136.06,0.554,462670.15,-0.384,750655.85,0.031,728211.15,-0.743,2833559.60,0.023,2770271.38,0.137,2436565.71,0.265,1926138.86,-0.387,3143407.57,-0.265,4279017.32,0.302
Supply-side fees,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Revenue,87191.37,-0.873,685709.24,0.192,575447.80,-0.726,2099768.21,1.097,1001271.58,-0.769,4330553.63,3.830,896567.05,-0.582,2146861.86,-0.795,10460147.11,0.103,9479717.82,0.274,7439365.47,-0.351,11465770.44,0.923,5961822.71,1.499,2385974.85,0.235,1932290.49,-0.442,3464599.40,-0.203,4349421.65,-0.008,4383365.84,-0.559,9945429.80,0.107,8986275.20,0.454,6180062.89,1.124,2909095.71,1.536,1147095.77,0.523,753304.25,-0.226,972984.38,0.353,719136.06,0.554,462670.15,-0.384,750655.85,0.031,728211.15,-0.743,2833559.60,0.023,2770271.38,0.137,2436565.71,0.265,1926138.86,-0.387,3143407.57,-0.265
Expenses,20311.16,-0.871,157629.06,0.575,100075.82,0.362,73495.19,-0.306,105946.70,-0.658,310133.01,2.565,86997.91,-0.598,216172.81,-0.973,7944156.91,0.093,7268725.35,0.490,4876715.49,-0.470,9208028.39,1.083,4419709.99,2.462,1276738.36,0.106,1154796.49,-0.507,2341253.19,-0.269,3201347.00,0.054,3038389.10,-0.663,9021224.13,0.380,6537832.41,0.856,3522229.22,0.657,2125698.07,1.824,752600.50,0.576,477552.35,-0.347,731553.17,0.439,508461.12,0.707,297946.46,-0.511,609855.09,0.011,603465.45,-0.681,1894534.76,-0.082,2063052.91,0.066,1935970.20,0.243,1557180.19,-0.397,2581087.17,-0.075,2789294.54,0.508
Cost of revenue,20311.16,-0.871,157629.06,0.575,100075.82,0.362,73495.19,-0.306,105946.70,-0.658,310133.01,2.565,86997.91,-0.598,216172.81,-0.973,7944156.91,0.093,7268725.35,0.490,4876715.49,-0.470,9208028.39,1.083,4419709.99,2.462,1276738.36,0.106,1154796.49,-0.507,2341253.19,-0.269,3201347.00,0.054,3038389.10,-0.663,9021224.13,0.380,6537832.41,0.856,3522229.22,0.657,2125698.07,1.824,752600.50,0.576,477552.35,-0.347,731553.17,0.439,508461.12,0.707,297946.46,-0.511,609855.09,0.011,603465.45,-0.681,1894534.76,-0.082,2063052.91,0.066,1935970.20,0.243,1557180.19,-0.397,2581087.17,-0.075,2789294.54,0.508
Token incentives,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Gross profit,66880.21,-0.873,528080.17,0.111,475371.98,-0.765,2026273.03,1.263,895324.88,-0.777,4020420.62,3.966,809569.15,-0.581,1930689.04,-0.233,2515990.20,0.138,2210992.46,-0.137,2562649.98,0.135,2257742.04,0.464,1542112.72,0.390,1109236.49,0.427,777494.00,-0.308,1123346.21,-0.022,1148074.65,-0.146,1344976.73,0.455,924205.67,-0.623,2448442.80,-0.079,2657833.67,2.393,783397.64,0.986,394495.26,0.431,275751.90,0.142,241431.21,0.146,210674.95,0.279,164723.69,0.170,140800.76,0.129,124745.70,-0.867,939024.84,0.328,707218.46,0.413,500595.51,0.357,368958.66,-0.344,562320.40,-0.623,1489722.78,0.037
Earnings,66880.21,-0.873,528080.17,0.111,475371.98,-0.765,2026273.03,1.263,895324.88,-0.777,4020420.62,3.966,809569.15,-0.581,1930689.04,-0.233,2515990.20,0.138,2210992.46,-0.137,2562649.98,0.135,2257742.04,0.464,1542112.72,0.390,1109236.49,0.427,777494.00,-0.308,1123346.21,-0.022,1148074.65,-0.146,1344976.73,0.455,924205.67,-0.623,2448442.80,-0.079,2657833.67,2.393,783397.64,0.986,394495.26,0.431,275751.90,0.142,241431.21,0.146,210674.95,0.279,164723.69,0.170,140800.76,0.129,124745.70,-0.867,939024.84,0.328,707218.46,0.413,500595.51,0.357,368958.66,-0.344,562320.40,-0.623,1489722.78,0.037
Price,0.50,-0.090,0.55,0.002,0.55,-0.018,0.56,-0.233,0.73,-0.213,0.93,-0.136,1.07,-0.163,1.28,-0.312,1.86,-0.026,1.91,0.012,1.89,0.562,1.21,0.134,1.07,0.234,0.86,0.017,0.85,-0.206,1.07,-0.097,1.18,0.085,1.09,-0.091,1.20,-0.123,1.37,0.075,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circulating supply,3975409060.00,0.065,3732675650.06,0.052,3548544824.83,0.045,3394935233.13,0.035,3280222501.94,0.086,3019327850.90,0.131,2669584606.26,0.006,2653939384.00,0.377,1927071354.58,0.511,1275000000.00,0.000,1275000000.00,0.000,1275000000.00,0.000,1275000000.00,0.000,1275000000.00,0.000,1275000000.00,0.000,1275000000.00,0.000,1275000000.00,0.000,1275000000.00,0.000,1275000000.00,0.000,1275000000.00,0.000,1275000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market cap (fully diluted),5010088837.58,-0.090,5503239766.42,0.002,5493290927.72,-0.018,5596675579.82,-0.233,7292703998.84,-0.213,9268525038.67,-0.136,10726916427.80,-0.163,12809473885.66,-0.312,18605365645.45,-0.026,19104770689.11,0.012,18880736491.78,0.562,12085701645.69,0.134,10656053846.33,0.234,8636551009.54,0.017,8495759839.30,-0.206,10694439450.75,-0.097,11841573249.70,0.085,10918841307.29,-0.091,12015909982.78,-0.123,13698157332.89,0.075,12742977716.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market cap (circulating),1991743192.22,-0.030,2053370129.25,0.052,1951801316.23,0.027,1899610452.72,-0.206,2393066212.24,-0.140,2783648893.39,-0.028,2865278882.96,-0.157,3400233181.02,-0.023,3479616870.36,0.428,2436164660.76,0.012,2406350499.40,0.562,1541011091.64,0.135,1358084001.43,0.235,1100056665.00,0.016,1082923531.42,-0.205,1363007981.69,-0.097,1509396450.69,0.084,1392004803.47,-0.092,1532775681.69,-0.122,1746604617.46,0.075,1624943520.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
