Financial statement,Nov 2024,Nov 2024 change,Oct 2024,Oct 2024 change,Sep 2024,Sep 2024 change,Aug 2024,Aug 2024 change,Jul 2024,Jul 2024 change,Jun 2024,Jun 2024 change,May 2024,May 2024 change,Apr 2024,Apr 2024 change,Mar 2024,Mar 2024 change,Feb 2024,Feb 2024 change,Jan 2024,Jan 2024 change,Dec 2023,Dec 2023 change,Nov 2023,Nov 2023 change,Oct 2023,Oct 2023 change,Sep 2023,Sep 2023 change,Aug 2023,Aug 2023 change,Jul 2023,Jul 2023 change,Jun 2023,Jun 2023 change,May 2023,May 2023 change,Apr 2023,Apr 2023 change,Mar 2023,Mar 2023 change,Feb 2023,Feb 2023 change,Jan 2023,Jan 2023 change,Dec 2022,Dec 2022 change,Nov 2022,Nov 2022 change,Oct 2022,Oct 2022 change,Sep 2022,Sep 2022 change,Aug 2022,Aug 2022 change,Jul 2022,Jul 2022 change,Jun 2022,Jun 2022 change,May 2022,May 2022 change,Apr 2022,Apr 2022 change,Mar 2022,Mar 2022 change,Feb 2022,Feb 2022 change,Jan 2022,Jan 2022 change,Dec 2021,Dec 2021 change,Nov 2021,Nov 2021 change,Oct 2021,Oct 2021 change,Sep 2021,Sep 2021 change,Aug 2021,Aug 2021 change,Jul 2021,Jul 2021 change,Jun 2021,Jun 2021 change,May 2021,May 2021 change,Apr 2021,Apr 2021 change,Mar 2021,Mar 2021 change,Feb 2021,Feb 2021 change,Jan 2021,Jan 2021 change,Dec 2020,Dec 2020 change,Nov 2020,Nov 2020 change,Oct 2020,Oct 2020 change,Sep 2020,Sep 2020 change,Aug 2020,Aug 2020 change,Jul 2020,Jul 2020 change
Net deposits,2262991526.19,0.081,2094382837.55,0.139,1838774350.60,0.008,1823973002.36,-0.021,1862568398.57,0.133,1643629336.93,0.004,1637437227.85,0.065,1537663293.36,0.052,1461480196.62,0.774,823982178.26,0.286,640521092.53,0.229,521146523.88,0.649,316129912.00,2.986,79302698.08,1.109,37597771.53,0.126,33386437.72,0.412,23640110.56,0.997,11835777.63,-0.116,13388381.75,0.014,13206915.00,0.248,10586254.70,-0.028,10890336.55,0.337,8142946.26,0.966,4142694.15,-0.056,4387707.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets staked,2262991526.19,0.081,2094382837.55,0.139,1838774350.60,0.008,1823973002.36,-0.021,1862568398.57,0.133,1643629336.93,0.004,1637437227.85,0.065,1537663293.36,0.052,1461480196.62,0.774,823982178.26,0.286,640521092.53,0.229,521146523.88,0.649,316129912.00,2.986,79302698.08,1.109,37597771.53,0.126,33386437.72,0.412,23640110.56,0.997,11835777.63,-0.116,13388381.75,0.014,13206915.00,0.248,10586254.70,-0.028,10890336.55,0.337,8142946.26,0.966,4142694.15,-0.056,4387707.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fees,13181806.82,-0.843,83955522.09,3.685,17920464.81,-0.427,31301566.54,-0.150,36836413.51,-0.082,40123264.60,-0.027,41236875.81,0.150,35864581.32,0.228,29206860.21,3.318,6763924.14,0.165,5805336.97,0.887,3075733.76,11.620,243724.11,3.853,50221.52,1.870,17498.95,-0.438,31160.19,0.077,28945.25,0.188,24355.30,0.774,13725.57,1.912,4713.29,0.414,3333.88,2.106,1073.25,3.648,230.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply-side fees,12522716.48,-0.843,79757745.99,3.685,17024441.57,-0.427,29736488.22,-0.150,34994592.84,-0.082,38117101.37,-0.027,39175032.02,0.150,34071352.25,0.228,27746517.20,3.318,6425727.94,0.165,5515070.12,0.887,2921947.07,11.620,231537.90,3.853,47710.44,1.870,16624.00,-0.438,29602.18,0.077,27497.98,0.188,23137.53,0.774,13039.30,1.912,4477.62,0.414,3167.19,2.106,1019.59,3.648,219.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,659090.34,-0.843,4197776.10,3.685,896023.24,-0.427,1565078.33,-0.150,1841820.68,-0.082,2006163.23,-0.027,2061843.79,0.150,1793229.07,0.228,1460343.01,3.318,338196.21,0.165,290266.85,0.887,153786.69,11.620,12186.21,3.853,2511.08,1.870,874.95,-0.438,1558.01,0.077,1447.26,0.188,1217.76,0.774,686.28,1.912,235.66,0.414,166.69,2.106,53.66,3.648,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,2.12,-0.021,2.17,0.009,2.15,-0.140,2.50,0.015,2.46,-0.150,2.89,-0.254,3.88,0.093,3.55,0.196,2.97,0.434,2.07,0.025,2.02,-0.261,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circulating supply,128506353.00,0.006,127708010.61,0.009,126597012.17,0.013,124959530.32,0.011,123553688.00,0.007,122670778.83,0.009,121625408.45,0.027,118453236.00,0.011,117197247.00,0.000,117197247.00,0.014,115567031.48,0.005,115000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market cap (fully diluted),2120843835.65,-0.021,2166894745.39,0.009,2146888087.20,-0.140,2495780596.50,0.015,2458938388.22,-0.150,2893388256.46,-0.254,3879093788.45,0.093,3548744237.92,0.196,2966234285.21,0.434,2068745476.39,0.025,2017823337.96,-0.261,2728921100.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market cap (circulating),272378310.63,-0.016,276671227.79,0.018,271851004.49,-0.128,311848408.96,0.027,303778056.20,-0.144,354717250.63,-0.248,471947661.93,0.123,420222516.70,0.209,347470317.33,0.433,242469478.74,0.040,233086553.62,-0.257,313590428.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Token trading volume,403664123.84,-0.867,3035841946.33,1.249,1349777027.23,-0.458,2491690575.24,0.028,2423587885.15,0.242,1951463478.52,-0.634,5331949139.52,-0.051,5621177954.34,0.070,5252785167.76,1.748,1911414872.78,-0.472,3619230313.51,-0.508,7351881520.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
