Financial statement,Nov 2024,Nov 2024 change,Oct 2024,Oct 2024 change,Sep 2024,Sep 2024 change,Aug 2024,Aug 2024 change,Jul 2024,Jul 2024 change,Jun 2024,Jun 2024 change,May 2024,May 2024 change,Apr 2024,Apr 2024 change,Mar 2024,Mar 2024 change,Feb 2024,Feb 2024 change,Jan 2024,Jan 2024 change,Dec 2023,Dec 2023 change,Nov 2023,Nov 2023 change,Oct 2023,Oct 2023 change,Sep 2023,Sep 2023 change,Aug 2023,Aug 2023 change,Jul 2023,Jul 2023 change,Jun 2023,Jun 2023 change,May 2023,May 2023 change,Apr 2023,Apr 2023 change,Mar 2023,Mar 2023 change,Feb 2023,Feb 2023 change,Jan 2023,Jan 2023 change,Dec 2022,Dec 2022 change,Nov 2022,Nov 2022 change,Oct 2022,Oct 2022 change,Sep 2022,Sep 2022 change,Aug 2022,Aug 2022 change,Jul 2022,Jul 2022 change,Jun 2022,Jun 2022 change,May 2022,May 2022 change,Apr 2022,Apr 2022 change,Mar 2022,Mar 2022 change,Feb 2022,Feb 2022 change
Net deposits,23970328287.16,-0.025,24590615789.88,0.018,24160807031.24,-0.069,25963306561.16,-0.187,31952509278.16,-0.065,34162326370.46,0.102,31005085595.37,0.010,30689484366.59,-0.139,35662315008.36,0.334,26724930337.99,0.203,22218970903.39,0.063,20902900793.21,0.159,18033719809.46,0.227,14696495767.86,0.043,14095314426.55,-0.023,14429219779.04,-0.018,14696429435.13,0.109,13249965073.41,0.091,12148169754.72,0.044,11633510465.67,0.185,9816070452.94,0.156,8489409473.96,0.169,7260558670.38,0.212,5988289339.60,-0.036,6209180697.60,0.010,6148692627.09,-0.048,6456990164.62,-0.116,7306477494.30,0.261,5796240634.14,-0.008,5841812190.43,-0.352,9016201404.58,-0.128,10337001370.55,0.440,7179272145.43,0.332,5389955861.94,0.037
Assets staked,23970328287.16,-0.025,24590615789.88,0.018,24160807031.24,-0.069,25963306561.16,-0.187,31952509278.16,-0.065,34162326370.46,0.102,31005085595.37,0.010,30689484366.59,-0.139,35662315008.36,0.334,26724930337.99,0.203,22218970903.39,0.063,20902900793.21,0.159,18033719809.46,0.227,14696495767.86,0.043,14095314426.55,-0.023,14429219779.04,-0.018,14696429435.13,0.109,13249965073.41,0.091,12148169754.72,0.044,11633510465.67,0.185,9816070452.94,0.156,8489409473.96,0.169,7260558670.38,0.212,5988289339.60,-0.036,6209180697.60,0.010,6148692627.09,-0.048,6456990164.62,-0.116,7306477494.30,0.261,5796240634.14,-0.008,5841812190.43,-0.352,9016201404.58,-0.128,10337001370.55,0.440,7179272145.43,0.332,5389955861.94,0.037
Fees,10632639.40,-0.846,69216226.36,0.034,66925612.44,-0.122,76183036.78,-0.164,91138319.78,-0.067,97672834.54,0.079,90501541.41,-0.014,91750763.96,-0.205,115383765.75,0.421,81215269.92,0.095,74196536.00,0.008,73612029.93,0.185,62117720.97,0.238,50170218.53,0.071,46858810.71,-0.121,53280057.91,-0.046,55858045.90,0.159,48199576.03,-0.248,64121681.51,0.281,50041756.11,0.024,48854014.89,0.366,35755353.96,0.058,33796682.71,0.285,26293150.74,-0.244,34760786.85,0.114,31203222.42,0.195,26122225.27,-0.019,26629784.69,0.248,21339259.54,0.019,20945013.90,-0.342,31837632.63,-0.131,36649196.64,0.314,27884889.72,0.320
Supply-side fees,9569375.46,-0.846,62294603.72,0.034,60233051.19,-0.122,68564733.10,-0.164,82024487.80,-0.067,87905551.09,0.079,81451387.27,-0.014,82575687.56,-0.205,103845389.18,0.421,73093742.93,0.095,66776882.40,0.008,66250826.93,0.185,55905948.87,0.238,45153196.68,0.071,42172929.64,-0.121,47952052.12,-0.046,50272241.31,0.159,43379618.43,-0.248,57709513.36,0.281,45037580.50,0.024,43968613.40,0.366,32179818.57,0.058,30417014.44,0.285,23663835.67,-0.244,31284708.16,0.114,28082900.18,0.195,23510002.74,-0.019,23966806.22,0.248,19205333.59,0.019,18850512.51,-0.342,28653869.37,-0.131,32984276.97,0.314,25096400.75,0.320
Revenue,1063263.94,-0.846,6921622.64,0.034,6692561.24,-0.122,7618303.68,-0.164,9113831.98,-0.067,9767283.45,0.079,9050154.14,-0.014,9175076.40,-0.205,11538376.58,0.421,8121526.99,0.095,7419653.60,0.008,7361202.99,0.185,6211772.10,0.238,5017021.85,0.071,4685881.07,-0.121,5328005.79,-0.046,5585804.59,0.159,4819957.60,-0.248,6412168.15,0.281,5004175.61,0.024,4885401.49,0.366,3575535.40,0.058,3379668.27,0.285,2629315.07,-0.244,3476078.68,0.114,3120322.24,0.195,2612222.53,-0.019,2662978.47,0.248,2133925.95,0.019,2094501.39,-0.342,3183763.26,-0.131,3664919.66,0.314,2788488.97,0.320
Expenses,531631.97,-0.896,5102722.79,0.099,4643557.91,0.072,4333611.72,-0.218,5539240.41,-0.153,6536969.80,0.332,4907809.75,0.070,4587538.20,-0.205,5769188.29,-0.087,6320624.52,0.206,5240773.40,0.424,3680601.50,-0.207,4642463.40,0.565,2967056.58,0.266,2342940.54,-0.344,3572815.92,0.279,2792902.29,0.159,2409978.80,-0.404,4045614.91,-0.010,4088378.54,-0.202,5122733.32,-0.102,5705567.45,0.227,4649918.06,0.093,4255741.26,-0.367,6723144.32,-0.026,6902194.42,-0.287,9678265.37,-0.123,11037360.04,1.999,3680631.09,-0.337,5551071.63,-0.386,9034377.70,-0.438,16070033.50,0.361,11811749.31,0.133,10429248.86,-0.084
Cost of revenue,531631.97,-0.846,3460811.32,0.034,3346280.62,-0.122,3809151.84,-0.164,4556915.99,-0.067,4883641.73,0.079,4525077.07,-0.014,4587538.20,-0.205,5769188.29,0.421,4060763.50,0.095,3709826.80,0.008,3680601.50,0.185,3105886.05,0.238,2508510.93,0.071,2342940.54,-0.121,2664002.90,-0.046,2792902.29,0.159,2409978.80,-0.248,3206084.08,0.281,2502087.81,0.024,2442700.74,0.366,1787767.70,0.058,1689834.14,0.285,1314657.54,-0.244,1738039.34,0.114,1560161.12,0.195,1306111.26,-0.019,1331489.23,0.248,1066962.98,0.019,1047250.70,-0.342,1591881.63,-0.131,1832459.83,0.314,1394244.49,0.320,1055900.14,-0.087
Token incentives,0.00,-1.000,1641911.47,0.266,1297277.29,1.474,524459.89,-0.466,982324.42,-0.406,1653328.07,3.320,382732.68,,0.00,,0.00,-1.000,2259861.02,0.476,1530946.60,,0.00,-1.000,1536577.35,2.351,458545.65,,0.00,-1.000,908813.03,,0.00,,0.00,-1.000,839530.84,-0.471,1586290.74,-0.408,2680032.58,-0.316,3917799.76,0.324,2960083.92,0.006,2941083.72,-0.410,4985104.97,-0.067,5342033.30,-0.362,8372154.10,-0.137,9705870.81,2.714,2613668.11,-0.420,4503820.94,-0.395,7442496.07,-0.477,14237573.67,0.367,10417504.83,0.111
Gross profit,531631.97,-0.846,3460811.32,0.034,3346280.62,-0.122,3809151.84,-0.164,4556915.99,-0.067,4883641.73,0.079,4525077.07,-0.014,4587538.20,-0.205,5769188.29,0.421,4060763.50,0.095,3709826.80,0.008,3680601.50,0.185,3105886.05,0.238,2508510.93,0.071,2342940.54,-0.121,2664002.90,-0.046,2792902.29,0.159,2409978.80,-0.248,3206084.08,0.281,2502087.81,0.024,2442700.74,0.366,1787767.70,0.058,1689834.14,0.285,1314657.54,-0.244,1738039.34,0.114,1560161.12,0.195,1306111.26,-0.019,1331489.23,0.248,1066962.98,0.019,1047250.70,-0.342,1591881.63,-0.131,1832459.83,0.314,1394244.49,0.320
Earnings,531631.97,-0.708,1818899.84,-0.112,2049003.34,-0.376,3284691.95,-0.081,3574591.57,0.107,3230313.66,-0.220,4142344.39,-0.097,4587538.20,-0.205,5769188.29,2.203,1800902.47,-0.173,2178880.20,-0.408,3680601.50,1.345,1569308.70,-0.234,2049965.27,-0.125,2342940.54,0.335,1755189.87,-0.372,2792902.29,0.159,2409978.80,0.018,2366553.24,1.584,915797.07,4.859,-237331.83,0.889,-2130032.06,-0.677,-1270249.79,0.219,-1626426.19,0.499,-3247065.63,0.141,-3781872.18,0.465,-7066042.84,0.156,-8374381.57,-4.414,-1546705.14,0.553,-3456570.24,0.409,-5850614.44,0.528,-12405113.84,-0.375,-9023260.34,-0.085,-8317448.57,0.083
Treasury,199692565.14,-0.087,218659467.76,-0.004,219474869.72,-0.057,232792401.58,-0.271,319368923.27,-0.150,375888589.50,0.061,354169715.29,-0.060,376884589.74,-0.210,476780668.46,0.064,448141030.21,0.023,438108225.52,0.246,351502279.78,0.090,322511093.91,0.311,245934375.73,0.058,232525784.01,-0.110,261195079.80,-0.121,297088792.52,0.038,286280892.75,-0.017,291222166.84,-0.133,335745371.39,-0.062,357905366.86,-0.088,392484085.90,0.282,306057118.36,0.684,181775293.34,-0.164,217421584.39,-0.170,261969010.07,-0.183,320767623.76,-0.185,393343903.09,0.713,229668864.54,0.488,154345963.42,-0.559,349702039.82,-0.479,670942859.41,0.130,593778429.10,0.475
Net treasury,97758051.37,-0.072,105378760.64,-0.002,105567366.62,-0.065,112893007.65,-0.169,135857289.93,-0.077,147120689.74,0.085,135635953.55,0.025,132302338.92,-0.089,145270150.62,0.322,109864177.72,0.154,95214163.58,0.072,88794196.70,0.156,76778408.88,0.166,65836956.67,0.020,64532334.67,-0.071,69491034.69,-0.048,72989709.26,0.031,70763689.56,0.025,69039950.51,-0.029,71070036.22,0.122,63340242.32,0.041,60823395.31,0.091,55740512.46,0.111,50161619.15,-0.038,52147721.03,-0.117,59029842.53,-0.054,62376780.96,0.268,49203994.32,0.407,34964116.81,0.018,34338898.68,-0.354,53142699.92,-0.291,75007234.42,0.087,69012417.35,0.021
