Financial statement,Nov 2024,Nov 2024 change,Oct 2024,Oct 2024 change,Sep 2024,Sep 2024 change,Aug 2024,Aug 2024 change,Jul 2024,Jul 2024 change,Jun 2024,Jun 2024 change,May 2024,May 2024 change,Apr 2024,Apr 2024 change,Mar 2024,Mar 2024 change,Feb 2024,Feb 2024 change,Jan 2024,Jan 2024 change,Dec 2023,Dec 2023 change,Nov 2023,Nov 2023 change,Oct 2023,Oct 2023 change,Sep 2023,Sep 2023 change,Aug 2023,Aug 2023 change,Jul 2023,Jul 2023 change,Jun 2023,Jun 2023 change,May 2023,May 2023 change,Apr 2023,Apr 2023 change,Mar 2023,Mar 2023 change,Feb 2023,Feb 2023 change,Jan 2023,Jan 2023 change,Dec 2022,Dec 2022 change,Nov 2022,Nov 2022 change,Oct 2022,Oct 2022 change,Sep 2022,Sep 2022 change,Aug 2022,Aug 2022 change,Jul 2022,Jul 2022 change,Jun 2022,Jun 2022 change,May 2022,May 2022 change,Apr 2022,Apr 2022 change,Mar 2022,Mar 2022 change,Feb 2022,Feb 2022 change,Jan 2022,Jan 2022 change
Fees,200270.01,-0.787,940993.01,0.037,907050.91,-0.315,1324890.61,-0.255,1777895.56,-0.272,2442254.42,-0.042,2548891.97,-0.356,3957236.61,-0.566,9114402.04,0.558,5849438.61,0.514,3863441.13,-0.189,4764013.13,0.513,3147856.76,1.081,1512930.68,-0.338,2285235.23,-0.285,3197415.19,-0.073,3450822.97,0.384,2492709.05,-0.551,5547774.65,0.252,4429383.90,0.893,2339714.67,0.204,1943297.28,-0.095,2147165.85,0.413,1519336.22,-0.022,1553489.62,0.651,940987.48,0.584,593884.45,-0.061,632485.14,0.009,627055.19,-0.676,1933638.39,-0.315,2823822.31,0.721,1640414.43,0.461,1122926.35,-0.274,1546558.10,-0.552,3455600.60,0.027
Supply-side fees,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Revenue,200270.01,-0.787,940993.01,0.037,907050.91,-0.315,1324890.61,-0.255,1777895.56,-0.272,2442254.42,-0.042,2548891.97,-0.356,3957236.61,-0.566,9114402.04,0.558,5849438.61,0.514,3863441.13,-0.189,4764013.13,0.513,3147856.76,1.081,1512930.68,-0.338,2285235.23,-0.285,3197415.19,-0.073,3450822.97,0.384,2492709.05,-0.551,5547774.65,0.252,4429383.90,0.893,2339714.67,0.204,1943297.28,-0.095,2147165.85,0.413,1519336.22,-0.022,1553489.62,0.651,940987.48,0.584,593884.45,-0.061,632485.14,0.009,627055.19,-0.676,1933638.39,-0.315,2823822.31,0.721,1640414.43,0.461,1122926.35,-0.274,1546558.10,-0.552
Expenses,372976.80,-0.985,24701723.99,0.040,23762373.62,9.747,2211149.27,-0.709,7589743.34,-0.658,22217281.43,1.450,9068400.04,1.488,3644616.00,-0.792,17501641.63,-0.239,22994238.30,-0.645,64807476.93,4.666,11438396.56,0.221,9370400.27,0.436,6523279.37,-0.933,97083012.40,7.089,12001494.68,1.810,4270920.70,-0.508,8673047.83,-0.470,16371208.68,0.344,12180343.09,-0.022,12459848.20,-0.740,47845573.73,16.154,2789238.77,-0.627,7475220.26,-0.268,10205772.60,0.920,5316270.97,-0.154,6287610.12,-0.433,11096269.86,-0.524,23292194.83,13.637,1591346.31,-0.095,1758115.52,0.522,1155497.04,0.247,926983.99,-0.333,1389434.85,-0.470,2622180.16,0.306
Cost of revenue,391.27,-0.934,5953.33,0.265,4705.11,0.642,2865.15,-0.551,6382.12,-0.849,42175.04,3.639,9091.32,-0.417,15582.73,-0.997,5530422.33,-0.030,5700760.98,0.900,3000076.94,-0.269,4102175.69,0.628,2519351.14,2.439,732504.96,-0.073,790378.70,-0.650,2256034.39,-0.089,2477536.45,0.444,1715755.86,-0.623,4553290.55,0.364,3338655.69,0.747,1911093.63,0.177,1624177.36,-0.004,1631074.18,0.438,1134331.11,-0.049,1193124.93,0.532,779015.36,0.671,466279.28,-0.077,505448.54,0.009,500694.87,-0.670,1518411.80,-0.136,1758115.52,0.522,1155497.04,0.247,926983.99,-0.333,1389434.85,-0.470,2622180.16,0.306
Token incentives,372585.54,-0.985,24695770.66,0.039,23757668.51,9.758,2208284.12,-0.709,7583361.21,-0.658,22175106.38,1.448,9059308.72,1.496,3629033.28,-0.697,11971219.31,-0.308,17293477.32,-0.720,61807399.99,7.425,7336220.88,0.071,6851049.13,0.183,5790774.41,-0.940,96292633.70,8.881,9745460.30,4.434,1793384.25,-0.742,6957291.96,-0.411,11817918.13,0.337,8841687.40,-0.162,10548754.58,-0.772,46221396.37,38.909,1158164.60,-0.817,6340889.15,-0.296,9012647.68,0.986,4537255.61,-0.221,5821330.84,-0.450,10590821.32,-0.535,22791499.96,311.493,72934.51,,,,,,,,,
Gross profit,199878.74,-0.786,935039.68,0.036,902345.80,-0.317,1322025.45,-0.254,1771513.44,-0.262,2400079.37,-0.055,2539800.65,-0.356,3941653.88,0.100,3583979.72,23.106,148677.63,-0.828,863364.19,0.304,661837.44,0.053,628505.62,-0.195,780425.72,-0.478,1494856.53,0.588,941380.80,-0.033,973286.51,0.253,776953.19,-0.219,994484.10,-0.088,1090728.21,1.545,428621.04,0.343,319119.92,-0.382,516091.67,0.340,385005.11,0.068,360364.69,1.225,161972.12,0.269,127605.17,0.004,127036.60,0.005,126360.32,-0.696,415226.59,-0.610,1065706.79,1.198,484917.39,1.475,195942.37,0.247,157123.25,-0.811,833420.45,-0.386
Earnings,-172706.79,0.993,-23760730.97,-0.040,-22855322.71,-24.789,-886258.67,0.848,-5811847.78,0.706,-19775027.01,-2.033,-6519508.07,-21.854,312620.61,1.037,-8387239.59,0.511,-17144799.70,0.719,-60944035.80,-8.131,-6674383.44,-0.073,-6222543.51,-0.242,-5010348.69,0.947,-94797777.17,-9.767,-8804079.49,-9.735,-820097.74,0.867,-6180338.77,0.429,-10823434.03,-0.396,-7750959.19,0.234,-10120133.53,0.780,-45902276.45,-70.491,-642072.93,0.892,-5955884.04,0.312,-8652282.99,-0.978,-4375283.49,0.232,-5693725.67,0.456,-10463784.72,0.538,-22665139.63,-67.216,342292.08,-0.679,1065706.79,1.198,484917.39,1.475,195942.37,0.247,157123.25,-0.811,833420.45,-0.386
Price,1.47,-0.116,1.67,0.065,1.56,0.115,1.40,-0.180,1.71,-0.171,2.06,-0.212,2.62,-0.029,2.70,-0.315,3.94,0.116,3.53,0.043,3.38,0.350,2.50,0.499,1.67,0.288,1.30,-0.023,1.33,-0.146,1.55,0.112,1.40,0.091,1.28,-0.267,1.75,-0.253,2.34,-0.037,2.43,-0.102,2.71,0.652,1.64,0.639,1.00,0.017,0.98,0.164,0.84,-0.229,1.10,-0.245,1.45,0.963,0.74,-0.054,0.78,-0.441,1.40,,,,,,,
Circulating supply,1255070491.00,0.000,1255070491.00,0.051,1194343868.50,0.006,1187596466.00,0.059,1121728540.00,0.020,1099664107.90,0.033,1064126361.97,0.037,1025760733.50,0.019,1006141600.00,0.051,957378568.00,0.013,945486020.90,0.039,910315027.19,0.034,880775553.70,0.009,872516120.03,0.093,798517235.00,0.114,716708907.00,0.089,657943924.19,0.021,644594782.00,0.969,327428423.26,0.040,314844141.00,0.102,285784076.71,0.331,214748364.00,0.000,214748364.00,0.000,214748364.00,0.000,214748364.00,0.000,214748364.00,0.000,214748364.00,0.000,214748364.00,0.000,214748364.00,0.000,214748364.00,,,,,,,,,
Market cap (fully diluted),6323442994.11,-0.116,7151818562.55,0.065,6717215788.67,0.115,6025449739.45,-0.180,7347843130.01,-0.171,8858183724.63,-0.212,11248205876.32,-0.029,11584926392.95,-0.315,16906045598.02,0.116,15153991995.19,0.043,14527342997.49,0.350,10758844950.55,0.499,7177984318.24,0.288,5571668415.55,-0.023,5703063910.62,-0.146,6676013686.06,0.112,6005427220.47,0.091,5506474401.66,-0.267,7507357515.72,-0.253,10043683611.42,-0.037,10434556606.29,-0.102,11624693906.69,0.652,7038484918.87,0.639,4294877391.89,0.017,4222843119.05,0.164,3626635578.68,-0.229,4703131828.76,-0.245,6231997822.04,0.963,3174816223.59,-0.028,3264842510.55,,,,,,,,,
Market cap (circulating),1847876268.51,-0.116,2089311136.72,0.117,1870393435.46,0.123,1665854195.76,-0.132,1919133711.79,-0.152,2263638300.60,-0.188,2787182158.26,0.009,2761603694.55,-0.303,3960489293.33,0.172,3378608826.21,0.057,3195972165.87,0.401,2281409976.46,0.549,1472460951.91,0.302,1130495291.59,0.066,1060141478.26,-0.049,1114218868.22,0.209,921317737.92,0.115,826301164.63,0.447,571115596.13,-0.224,736162119.63,0.065,691156403.22,0.188,581660376.18,0.654,351725409.78,0.638,214769727.42,0.018,210961523.25,0.164,181298086.65,-0.229,235146253.47,-0.246,311690684.57,0.963,158786498.52,-0.029,163446135.09,,,,,,,,,
