Financial statement,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017
Net deposits,5768859547.50,5554905475.94,6745731838.38,5986406470.89,4043379261.64,3978161705.04,4643712588.73,4210739764.62,4012457408.36,5265814990.24,6460066546.14,8537096879.74,18832780703.48,12921989517.87,10585466241.47,4452641142.14,2527960564.86,694902906.86,20170758.11,,,,,,,,,,
Trading volume,46043401452.28,143774181217.45,185325298119.92,184113776670.33,116185373905.81,66384232239.59,101960399695.99,145556633845.19,96771790671.98,117460084883.71,165627627886.67,181726778524.01,223126245392.28,138658370832.70,153277144849.88,86296765261.92,30182531142.65,22297090278.49,285383553.06,,,,,,,,,,
Fees,62647647.38,170149333.75,265005620.79,296136764.30,169658493.43,88805579.68,141987952.79,164030111.55,105396139.19,142936032.12,229954968.72,297028810.20,450946312.79,296579555.77,436061313.97,258890295.79,90547593.43,66891270.84,856150.66,,,,,,,,,,
Supply-side fees,62647647.38,170149333.75,265005620.79,296136764.30,169658493.43,88805579.68,141987952.79,164030111.55,105396139.19,142936032.12,229954968.72,297028810.20,450946312.79,296579555.77,436061313.97,258890295.79,90547593.43,66891270.84,856150.66,,,,,,,,,,
Revenue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Expenses,121.25,181.34,90.26,16.75,371.26,1624.84,68.27,152444.75,1799.34,2058.47,5365.19,33436.93,27249.93,29201.14,395145.53,592101.08,51493599.43,15212778.11,,,,,,,,,,,
Token incentives,121.25,181.34,90.26,16.75,371.26,1624.84,68.27,152444.75,1799.34,2058.47,5365.19,33436.93,27249.93,29201.14,395145.53,592101.08,51493599.43,15212778.11,,,,,,,,,,,
Earnings,-121.25,-181.34,-90.26,-16.75,-371.26,-1624.84,-68.27,-152444.75,-1799.34,-2058.47,-5365.19,-33436.93,-27249.93,-29201.14,-395145.53,-592101.08,-51493599.43,-15212778.11,0.00,,,,,,,,,,
Treasury,2989396739.65,2794782096.52,3644997370.87,3638373351.69,2200186910.15,2188033526.57,2218639255.72,2676505572.37,2549175073.64,2925557636.87,2863380261.55,4960259873.47,9372772144.85,10029578554.80,12646068136.49,8680306452.76,1430147742.10,2033452005.83,,,,,,,,,,,
Net treasury,3521710.73,65134.00,131807.74,1684.41,882.87,11.32,8.48,10.70,164955.30,542908.98,1002875.83,1349009.94,1903101.31,1806065.16,2107720.73,564227.55,54.36,2.52,,,,,,,,,,,
