Date,Market cap (fully diluted) ($),Fees ($)
2020-05-05,,0.00
2020-05-06,,0.00
2020-05-11,,0.00
2020-05-12,,0.01
2020-05-13,,0.05
2020-05-14,,0.26
2020-05-15,,2.06
2020-05-16,,0.37
2020-05-17,,0.09
2020-05-18,,331.16
2020-05-19,,3702.00
2020-05-20,,3737.42
2020-05-21,,3712.95
2020-05-22,,3972.80
2020-05-23,,3430.56
2020-05-24,,3757.94
2020-05-25,,2949.11
2020-05-26,,3506.61
2020-05-27,,3365.60
2020-05-28,,4028.74
2020-05-29,,7063.79
2020-05-30,,5641.31
2020-05-31,,7165.55
2020-06-01,,7177.82
2020-06-02,,9159.29
2020-06-03,,8771.87
2020-06-04,,7186.66
2020-06-05,,7244.07
2020-06-06,,9295.61
2020-06-07,,12098.09
2020-06-08,,13498.31
2020-06-09,,16493.57
2020-06-10,,15379.79
2020-06-11,,16605.43
2020-06-12,,13572.29
2020-06-13,,12449.63
2020-06-14,,9397.35
2020-06-15,,20638.28
2020-06-16,,18187.11
2020-06-17,,18095.03
2020-06-18,,30620.87
2020-06-19,,36228.54
2020-06-20,,29408.84
2020-06-21,,48218.88
2020-06-22,,54827.87
2020-06-23,,49041.37
2020-06-24,,55658.86
2020-06-25,,59010.15
2020-06-26,,51751.60
2020-06-27,,50694.13
2020-06-28,,37363.04
2020-06-29,,41304.90
2020-06-30,,40403.00
2020-07-01,,51457.41
2020-07-02,,58040.89
2020-07-03,,58309.62
2020-07-04,,46272.31
2020-07-05,,41373.38
2020-07-06,,49416.26
2020-07-07,,44785.13
2020-07-08,,58680.06
2020-07-09,,63234.68
2020-07-10,,59403.23
2020-07-11,,62206.40
2020-07-12,,82596.65
2020-07-13,,124931.95
2020-07-14,,79720.73
2020-07-15,,87381.19
2020-07-16,,82379.19
2020-07-17,,128694.27
2020-07-18,,136462.28
2020-07-19,,147351.23
2020-07-20,,162436.47
2020-07-21,,166601.71
2020-07-22,,188173.31
2020-07-23,,219662.19
2020-07-24,,226816.81
2020-07-25,,317897.53
2020-07-26,,324005.15
2020-07-27,,408415.75
2020-07-28,,277574.44
2020-07-29,,302541.89
2020-07-30,,360680.52
2020-07-31,,365569.51
2020-08-01,,328738.94
2020-08-02,,265244.93
2020-08-03,,273913.21
2020-08-04,,261868.54
2020-08-05,,252372.52
2020-08-06,,260603.97
2020-08-07,,393350.42
2020-08-08,,408773.06
2020-08-09,,474715.81
2020-08-10,,706707.06
2020-08-11,,526565.69
2020-08-12,,767879.25
2020-08-13,,708921.91
2020-08-14,,621707.94
2020-08-15,,509665.79
2020-08-16,,555561.88
2020-08-17,,567199.57
2020-08-18,,736420.00
2020-08-19,,656238.42
2020-08-20,,698270.33
2020-08-21,,725795.42
2020-08-22,,521596.06
2020-08-23,,491867.26
2020-08-24,,605463.62
2020-08-25,,579303.55
2020-08-26,,626096.06
2020-08-27,,506672.85
2020-08-28,,716898.29
2020-08-29,,990595.77
2020-08-30,,1662200.09
2020-08-31,,1871363.95
2020-09-01,,2909829.99
2020-09-02,,2581404.66
2020-09-03,,2200526.92
2020-09-04,,1780856.36
2020-09-05,,2318459.98
2020-09-06,,2004686.11
2020-09-07,,1426254.81
2020-09-08,,1208732.62
2020-09-09,,1388950.41
2020-09-10,,1302154.84
2020-09-11,,1000495.56
2020-09-12,,1027901.45
2020-09-13,,1243073.19
2020-09-14,,1452238.83
2020-09-15,,1233986.07
2020-09-16,,1175280.68
2020-09-17,3443832391.41,1826596.98
2020-09-18,3443832391.41,1945271.74
2020-09-19,7097694014.20,1534088.72
2020-09-20,5702060553.83,1235996.64
2020-09-21,5256579382.52,1445560.84
2020-09-22,4294819485.82,1092865.89
2020-09-23,3908448811.54,1099341.23
2020-09-24,4342896875.45,938500.55
2020-09-25,5138560549.02,850540.19
2020-09-26,4908146351.13,792184.07
2020-09-27,4868443821.20,985947.97
2020-09-28,4844985391.31,916869.25
2020-09-29,4251913706.45,1021565.91
2020-09-30,4341487120.67,895464.03
2020-10-01,4153261217.52,1144078.19
2020-10-02,4243965217.95,1425417.29
2020-10-03,3900844835.70,913598.62
2020-10-04,3894488446.87,1050427.39
2020-10-05,3721207730.25,900651.97
2020-10-06,3321523589.62,1278714.71
2020-10-07,2692316035.36,1064742.07
2020-10-08,2963310645.72,1060595.10
2020-10-09,3308742648.43,921019.89
2020-10-10,3406370228.47,818900.16
2020-10-11,3298512186.27,684523.46
2020-10-12,3374035991.24,863698.84
2020-10-13,3449721633.62,654060.17
2020-10-14,3349952700.59,697692.43
2020-10-15,3122753139.29,719399.22
2020-10-16,3077523569.52,633544.56
2020-10-17,3035579228.53,488867.55
2020-10-18,3072774172.46,509633.36
2020-10-19,3266032560.29,586716.22
2020-10-20,3170928183.25,674552.96
2020-10-21,2853285480.64,920503.06
2020-10-22,2931042631.38,788074.89
2020-10-23,3030530336.55,692998.60
2020-10-24,3008704208.37,460379.21
2020-10-25,2941282437.46,515770.07
2020-10-26,2772325304.87,1172897.27
2020-10-27,2710675936.05,663553.50
2020-10-28,2817177652.53,1216366.02
2020-10-29,2670454129.02,1005194.75
2020-10-30,2537363184.85,1063307.25
2020-10-31,2409993545.87,690333.52
2020-11-01,2261015576.65,566809.52
2020-11-02,2373798479.36,674209.19
2020-11-03,2251773695.54,693106.08
2020-11-04,2137337380.13,738315.94
2020-11-05,1928176582.22,934950.21
2020-11-06,2206903889.96,1116188.93
2020-11-07,2548690166.35,1235495.37
2020-11-08,2481258831.06,657734.77
2020-11-09,2876834451.88,800786.16
2020-11-10,2672774632.89,769940.69
2020-11-11,3049914780.20,761750.68
2020-11-12,2937599986.76,740130.32
2020-11-13,2962134317.11,818264.01
2020-11-14,3887205642.40,881865.93
2020-11-15,3811713208.35,737143.02
2020-11-16,3866460649.78,915795.35
2020-11-17,3577758751.53,1275958.51
2020-11-18,3828887676.71,980156.42
2020-11-19,3464279444.08,851690.05
2020-11-20,3729226708.32,1001759.55
2020-11-21,3841956262.29,1231638.91
2020-11-22,3822497996.25,1361280.82
2020-11-23,3682139733.10,1238372.87
2020-11-24,4160502959.40,1347090.63
2020-11-25,4053213193.04,978556.79
2020-11-26,3675659184.82,2056962.60
2020-11-27,3425366372.06,759322.68
2020-11-28,3320959567.22,619956.94
2020-11-29,3462034852.55,629492.47
2020-11-30,3542126807.87,1059924.13
2020-12-01,3753490456.50,1098971.43
2020-12-02,3561032872.41,888063.43
2020-12-03,3971723536.99,1030260.97
2020-12-04,3882325903.26,987461.81
2020-12-05,3534025765.33,860851.53
2020-12-06,3683339555.72,1191837.43
2020-12-07,3638493355.66,996873.86
2020-12-08,3760556589.40,1217385.97
2020-12-09,3291382071.28,1182895.56
2020-12-10,3361203998.55,999638.54
2020-12-11,3242646200.80,918727.30
2020-12-12,2969937981.63,777884.12
2020-12-13,3118612137.91,770528.30
2020-12-14,3330154879.11,859767.95
2020-12-15,3493033578.15,967177.28
2020-12-16,3333949272.78,1041018.12
2020-12-17,3525317976.58,1652380.64
2020-12-18,3689865086.60,1064384.02
2020-12-19,3770222155.31,1114807.01
2020-12-20,3963091075.94,1090068.90
2020-12-21,3764153267.13,1326891.07
2020-12-22,3528268791.10,1269704.15
2020-12-23,3753702102.17,1286079.44
2020-12-24,3319324985.61,1203645.73
2020-12-25,3512335266.78,1066053.49
2020-12-26,3501560970.65,1014494.94
2020-12-27,3416389638.49,1561493.35
2020-12-28,3600298204.31,1412936.51
2020-12-29,3735391663.17,1729720.22
2020-12-30,3673955200.84,1661940.24
2020-12-31,4148643644.47,1588788.27
2021-01-01,5171078271.99,1451401.04
2021-01-02,4744909770.96,1656588.86
2021-01-03,4863888594.50,2399605.32
2021-01-04,5414757447.88,3007546.94
2021-01-05,5268842432.40,2330655.77
2021-01-06,6330039540.02,2307436.56
2021-01-07,6406673145.97,2187096.92
2021-01-08,6280021032.60,2470367.57
2021-01-09,5903025778.29,2363330.31
2021-01-10,6262801429.86,2330026.18
2021-01-11,6018278998.23,3911998.81
2021-01-12,5236977252.37,2047778.17
2021-01-13,5559993812.41,1805594.69
2021-01-14,6334450385.88,1985575.26
2021-01-15,6829704203.29,2253656.06
2021-01-16,7368167682.94,2190673.44
2021-01-17,8424171550.25,2077121.66
2021-01-18,8671467056.81,2164898.91
2021-01-19,9188609040.59,3019641.91
2021-01-20,8621007459.03,2520606.38
2021-01-21,9032074483.78,2620244.88
2021-01-22,7637283628.61,2747506.29
2021-01-23,8711255875.57,2160785.08
2021-01-24,9298225615.77,2515708.53
2021-01-25,12008801004.56,2763098.91
2021-01-26,11396887817.55,2572633.04
2021-01-27,13796717917.36,2595153.28
2021-01-28,14826944209.19,2305114.44
2021-01-29,14161866549.89,3248311.76
2021-01-30,15645275352.35,2438109.87
2021-01-31,19390026684.59,2370136.21
